ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
EAKL,¦¨¤H,Clcr,0,999.00,mL/min,mL/min,¤£´¿¦bµÇ¥\¯à¤£¥þªº¯f¤H¤¤¹ïAklief¶i¦æ¹L¬ã¨s¡C,[¥é³æ],202412061109,202412061109
EASA,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ÄY­«µÇ·l¶ËªÌ(GFR­È¤p©ó30²@¤É/¨C¤ÀÄÁ/1.73m2)¸T¥Î,¥é³æ 20231128,202311281507,202311281507
EASA,¦¨¤H,eGFR,0,90.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¥Î©óµÇ¥\¯à¤£¥þ¯f¤H¡A¦å¤¤¦ÙÓþ©Î³J¥Õ§¿¼W¥[¯f¤HÀ³¤p¤ß¨Ï¥Î¡CªvÀø´Á¶¡¡AµÇ¥\¯à¤£¥þ¤§¯f¤HÀ³ª`·N¦]mesalazine¤Þ°_¤§µÇ¬r©Ê¡C°²¦p¥X²{µÇ¬r©Ê¯gª¬¡AÀ³¥ß§Y°±¤î¥»«~ªvÀø¡A¨Ã¥ß§Y´M§äÂå®v¿Ô¸ß¡C,¥é³æ 20231128,202311281503,202311281506
EBREZ,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¥¼´¿¶i¦æ¹L BREZTRI AEROSPHERE ¥Î©óµÇ¥\¯à¤£¥þ¯f¤Hªº¥¿¦¡ÃÄª«°Ê¤O¾Ç¬ã¨s¡C¹ï©ó­««×µÇ¥\¯à¤£¥þ (¦Ù»ÄÓþ²M°£²v <=30 mL/min/1.73 m2) ©Î»Ý­n³zªRªº¥½´ÁµÇ¯f¯f¤H¡A¶È­­¦b¹w´Á®Ä¯q¶W¹L¥i¯àªº­·ÀI®É¡A¤~¥i¨Ï¥Î¡C,¥é³æ 20241018,202410181129,202410181129
EBUT,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,1 mg¡A followed by 1 mg in 90-120 minutes if needed; repeat dosing sequence at intervals determined by patient response; usual interval is not less than 6 hours between dosing sequences.,Micromedex 20230612,202306121551,202306121551
ECOL2,¦¨¤H,eGFR,29.99,0.01,mL/min/1.73m2,mL/min/1.73m2,Contraindicated.,¥é³æ 20230404,202304041626,202304041626
ECOL4,¦¨¤H,eGFR,29.99,0.01,mL/min/1.73m2,mL/min/1.73m2,Contraindicated.,¥é³æ 20230404,202304041627,202304041627
EDDA,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤¤«×¨ìÄY­«ªºµÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,,201907241536,201804242350
EDUR1,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141207,202107141205
EDUR1,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141207,202107141205
EDUR2,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Mild-to-moderate impairment: Initial: Reduce dose by 50%. Severe impairment: Use not recommended.,,201805281457,202303090942
EFEN,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141207,202107141205
EFEN,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141207,202107141205
EFEN1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Severe impairment: Avoid use.,Micromedex 20240813,202408131610,202408131610
EFEN1,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Mild to moderate impairment: Initiate with 50% of the usual dosage.,Micromedex 20240813,202408131610,202408131610
EOPI,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141205,202107141205
EOPI,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141200,202107141205
ESIM,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Use is contraindicated.,,201806251600,201806251604
ETRU,¦¨¤H,Clcr,0.01,29.99,mL/min,mL/min,Use not recommended,¥é³æ 20230306,202303061407,202303061407
EVORS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Significant impairment or advanced renal disease: Use is not recommended.,,201912091137,201912091137
IACE,¦¨¤H,Clcr,59.99,0,mL/min,mL/min,Reduced Dose at Fixed-Time Intervals  An alternative rough guide for calculating a reduced dose at a fixed 12-hour interval in patients with known steady-state serum creatinine values is to divide the normally recommended dose by the patient's serum creatinine.,Micromedex 20210708,202107081134,202107081135
IACE,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Reduced Dose at Fixed-Time Intervals  If serum concentrations are not available and the patient condition is stable¡A use the serum creatinine and creatinine clearance (CrCl) values to guide dose adjustment.   To calculate the dose for a fixed-time interval administered every 12 hours (after administration of normal loading dose of 7.5 mg/kg)¡A reduce the normal loading dose in proportion to the reduction in CrCl rate as follows:  maintenance dose every 12 hours = observed CrCl (mL/min)/normal CrCl (mL/min) x 7.5 mg/body weight (kg),Micromedex 20210708,202107081125,202107081135
IACET,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¨â¦¸¥ÎÃÄ¦Ü¤Ö¶¡¹j8¤p®É,,201804142321,201804142321
IACL,¦¨¤H,Clcr,0,35.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804111604,201804111604
IACTMV,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,¤£»Ý¬°»´«×©Î¤¤«×µÇ¥\¯à¤£¥þªÌ½Õ¾ã¾¯¶q¡C¥Ø«e©|¥¼°w¹ï­««×µÇ¥\¯à¤£¥þªÌ¨Ï¥ÎActemra¤§Àø®Ä»P¦w¥þ©Ê¶i¦æ¬ÛÃö¬ã¨s¡C,¥é³æ 20240822,202106231359,202408221433
IACTMV10,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,¤£»Ý¬°»´«×©Î¤¤«×µÇ¥\¯à¤£¥þªÌ½Õ¾ã¾¯¶q¡C¥Ø«e©|¥¼°w¹ï­««×µÇ¥\¯à¤£¥þªÌ¨Ï¥ÎActemra¤§Àø®Ä»P¦w¥þ©Ê¶i¦æ¬ÛÃö¬ã¨s¡C,¥é³æ 20240822,202408221501,202408221501
IAGG,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¾¯¶q­°§C50%[¥é³æ],,202312031616,201910251156
IAGG,¦¨¤H,Clcr,0,59.90,mL/min,mL/min,CrCl <60 mL/minute: IV Loading dose: 25 mcg/kg administered over 5 minutes or less; Maintenance infusion: 0.075 mcg/kg/minute continued for up to 18 hours,,201804191220,201910251156
IALF,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªº¯f±wÀ³ÂÔ·V¨Ï¥Î¨Ã¦Ò¼{­°§C¾¯¶q,,201804141456,201804141456
IALI1,¦¨¤H,Clcr,0,45.00,mL/min,mL/min,¸T¤î¨Ï¥Î,,201804301510,202303090942
IALI5,¦¨¤H,Clcr,0,45.00,mL/min,mL/min,¸T¤î¨Ï¥Î,,201804301511,202303090943
IAMI2,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804231747,202303090943
IAMP,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,change interval to every 12 to 16 hours,,,202303090939
IAMP,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,change interval to every 6 to 12 hours,,,202303090940
IAMPI,¦¨¤H,Clcr,0,1.00,mL/min,mL/min,Intermittent hemodialysis: 1-2 g q12-24h¡A administer after dialysis on dialysis days for q24h dosing (assuming dialysis sessions are 3 times weekly); larger doses may be required with extended daily dialysis.,Micromedex 20240919,202409191216,202409191214
IAMPI,¦¨¤H,Clcr,0,0.80,mL/min,mL/min,Continuous Renal Replacement Therapy: loading dose 2 g; maintenance dosage: (1) Continuous Venovenous Hemofiltration: 1-2 g q8-12h (2) Continuous Venovenous Hemodialysis: 1-2 g q8h (3) Continuous Venovenous Hemodialfiltration: 1-2 g q6-8h.,Micromedex 20240919,202409191220,202409191220
IAMPI,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,dose every 12 to 16 hours,Micromedex 20240919,202409191215,202409191214
IAMPI,¦¨¤H,Clcr,0,0.90,mL/min,mL/min,Peritoneal Dialysis: 250 mg q12h,Micromedex 20240919,202409191217,202409191214
IAMPI,¦¨¤H,Clcr,10.00,49.99,mL/min,mL/min,dose every 6 to 12 hours,Micromedex 20240919,202409191215,202409191214
IAMPI,¦¨¤H,Clcr,50.00,999.00,mL/min,mL/min,dose every 6 hours,Micromedex 20240919,202409191214,202409191214
IAMPI5,¦¨¤H,Clcr,0,1.00,mL/min,mL/min,Continuous hemofiltration: 250 mg to 2 g every 6 to 12 hours. Peritoneal dialysis: 250 mg every 12 hours. Hemodialysis: maintenance dose following hemodialysis.,Micromedex 20241110,202411101610,
IAMPI5,¦¨¤H,Clcr,0.10,9.99,mL/min,mL/min,dose every 12 to 16 hours,Micromedex 20241110,202411101609,202411101610
IAMPI5,¦¨¤H,Clcr,10.00,49.99,mL/min,mL/min,dose every 6 to 12 hours,Micromedex 20241110,202411101608,
IAMPI5,¦¨¤H,Clcr,50.00,999.00,mL/min,mL/min,dose every 6 hours,Micromedex 20241110,202411101608,
IANO,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f©Î¶i¦æ©ÊµÇ·l®`©ÎµÇ¥\¯à»ÙÃª¤§§¹¥þµL§¿¯f±w¤£«ØÄ³¨Ï¥Î,,201907091128,201907100812
IARI,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,Use is contraindicated.,,201804191142,202303090944
IARI,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Use caution; total clearance ~40% lower compared to patients with normal renal function. When used for thromboprophylaxis¡A the American College of Chest Physicians suggests a 50% reduction in dose or use of low-dose heparin instead of fondaparinux.,,201804191142,202303090944
IBENA,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,­««×(GFR <10 mL/min)¡G¶¡¹j12-18¤p®Éµ¹ÃÄ,¥é³æ 20240813,202408131002,202408131003
IBENA,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,¤¤«×(GFR 10-50 mL/min)¡G¶¡¹j6-12¤p®Éµ¹ÃÄ,¥é³æ 20240813,202408131002,202408131003
IBENA,¦¨¤H,Clcr,50.10,120.00,mL/min,mL/min,»´«×(GFR>50mL/min)¡G¶¡¹j6¤p®Éµ¹ÃÄ,¥é³æ 20240813,202408130959,202408131003
IBFL,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,µÇ»ÙÃªªº¯f±wÀ³ÂÔ·V¨Ï¥Î,­«¯gµÇ»ÙÃª©Î°ª´á¦å¯g±wªÌ¤£«ØÄ³¨Ï¥Î,201804261421,201804261421
IBIC,¦¨¤H,eGFR,0,9.99,mL/min,mL/min,Administer 20% to 50% of the normal dose.,Micromedex Solutions. Accessed April 2¡A 2020.,201803281156,202004021546
IBIC,¦¨¤H,eGFR,10.00,50.00,mL/min,mL/min,Administer 75% of the normal dose.,Micromedex Solutions. Accessed April 2¡A 2020.,201803281156,202004021546
IBLE1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¬°¸T§Ò,,201804301537,202303090944
IBOL,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804112354,202303090944
IBOL,¦¨¤H,Clcr,30.00,39.00,mL/min,mL/min,½Õ¾ã¦¨ 3.0mg,,201804112354,202303090944
IBOL,¦¨¤H,Clcr,40.00,49.00,mL/min,mL/min,½Õ¾ã¦¨ 3.3mg,,201804112354,202303090944
IBOL,¦¨¤H,Clcr,50.00,60.00,mL/min,mL/min,½Õ¾ã¦¨ 3.5mg,,201804112353,202303090945
IBON,¦¨¤H,Clcr,0,12.00,mL/min,mL/min,¾¯¶q´î¤Ö50%,,201804112356,201804112356
IBON,¦¨¤H,Clcr,12.00,50.00,mL/min,mL/min,¾¯¶q´î¤Ö25%~50%,,201804112356,202303091002
IBON,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,¾¯¶q´î¤Ö25%,,201804112356,202303091000
IBONV,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804112358,201804112358
IBRID,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804191446,201804191446
IBURO,¦¨¤H,Clcr,0,999.00,mL/min,mL/min,No adjustment needed,[Micromedex],202412060957,202412060954
IBURO,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,1g/1g(¨C12¤p®É500mg/500mg),[¥é³æ],202412060954,202412060954
IBURO,¦¨¤H,Clcr,16.00,30.00,mL/min,mL/min,2g/2g(¨C12¤p®É1g/1g),[¥é³æ],202412060955,202412060954
IBURO,¦¨¤H,Clcr,31.00,999.00,mL/min,mL/min,4g/4g (¨C12¤p®É2g/2g),[¥é³æ],202412060956,202412060954
ICAG,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Initiate with the lower limit of the dosage range (accumulation may occur with renal impairment and subsequent doses may require adjustment based on serum calcium concentrations).,,201804231738,201804231738
ICAG1,¦¨¤H,Clcr,0,999.00,mL/min,mL/min,Initiate at the lowest dose of the suggested dose ranges for all age groups and monitor serum calcium levels every 4 hours.,[Micromedex],202412101019,202412101019
